北海道,1400,556,8,691,122
青森県,3110,554,140,669,169
岩手県,3310,630,179,670,207
宮城県,3410,630,217,671,244
秋田県,3210,555,179,621,206
山形県,3510,554,216,621,245
福島県,3610,554,256,671,286
栃木県,4110,627,293,670,322
茨城県,4010,631,332,670,361
千葉県,4510,633,372,670,440
群馬県,4210,556,294,622,323
埼玉県,4310,557,333,622,362
東京都,4410,558,371,622,401
神奈川県,4610,557,412,622,433
佐渡,5440,483,205,524,235
新潟県,5410,507,254,543,286
長野県,4810,508,294,545,363
山梨県,4910,509,370,547,400
静岡県,5010,508,408,548,438
富山県,5510,458,255,492,284
岐阜県,5210,458,294,498,361
愛知県,5110,458,371,499,400
石川県,5610,409,253,451,287
福井県,5710,408,293,452,321
滋賀県,6010,408,332,449,363
三重県,5310,411,373,450,402
京都府,6110,360,332,398,361
奈良県,6410,363,372,400,399
兵庫県,6310,311,329,350,363
大阪府,6200,311,372,350,400
和歌山県,6510,314,411,406,435
鳥取県,6910,262,332,301,361
岡山県,6610,262,372,303,396
島根県,6810,213,331,254,360
広島県,6710,211,372,255,397
山口県,8120,167,333,202,400
香川県,7200,249,417,288,449
徳島県,7110,248,456,290,484
愛媛県,7310,198,415,241,446
高知県,7410,197,457,239,483
大分県,8310,107,364,145,397
宮崎県,8710,105,405,143,472
福岡県,8210,57,370,98,397
熊本県,8610,52,405,95,434
佐賀県,8510,4,364,49,397
長崎県,8410,7,405,46,435
鹿児島県,8810,6,444,95,475
沖縄県,9110,6,500,47,525
